Year,Title,Author,Type,Genre,Pages
2024,Macbeth,William Shakespeare,F,classic,191
2024,Robinson Crusoe,Daniel Defoe,F,classic,316
2024,Oliver Twist,Charles Dickens,F,classic,442
2024,A Study in Scarlet and The Sign of the Four,Sir Arthur Conan Doyle,F,mystery,204
2024,The Children of Hurin,J.R.R. Tolkien,F,fantasy,292
2024,The Nature of Middle-Earth,J.R.R. Tolkien,F,fantasy,412
2024,Children of Dune ,Frank Herbert,F,scifi,477
2024,Project Pope,Clifford D. Simak,F,scifi,311
2024,To Your Scattered Bodies Go,Philip Jose Farmer,F,scifi,222
2024,Captive Universe,Harry Harrison,F,scifi,160
2024,The Stainless Steel Rat's Revenger,Harry Harrison,F,scifi,191
2024,Roadmarks,Roger Zelazny,F,scifi,185
2024,Bones of the Earth ,Michael Swanwick,F,scifi,383
2024,Doomsday Book,Connie Willis,F,scifi,578
2024,Project Hail Mary,Andy Weir,F,scifi,476
2023,David Copperfield,Charles Dickens,F,classic,719
2023,Hard Times,Charles Dickens,F,classic,292
2023,Dracula,Bram Stoker,F,classic,362
2023,The Ball and the Cross,G.K. Chesterton,F,fiction,178
2023,The Man Who Was Thursday,G.K. Chesterton,F,fiction,110
2023,The Fellowship of the Ring,J.R.R. Tolkien,F,fantasy,407
2023,The Two Towers,J.R.R. Tolkien,F,fantasy,331
2023,The Return of the King,J.R.R. Tolkien,F,fantasy,392
2023,A Canticle for Leibowitz,Walter M. Miller Jr.,F,scifi,278
2023,Death is a Lonely Business,Ray Bradbury,F,mystery,232
2023,The Man in the High Castle,Philip K. Dick,F,scifi,274
2023,Dune Messiah,Frank Herbert,F,scifi,281
2023,Rendezvous with Rama,Arthur C. Clarke,F,scifi,243
2023,Childhood's End ,Arthur C. Clarke,F,scifi,212
2023,The Flight of the Horse,Larry Niven,F,scifi,209
2023,A World Out of Time,Larry Niven,F,scifi,246
2023,Gateway,Frederick Pohl,F,scifi,278
2023,Time Travelers from Isaac Asimov's Science Fiction Magazine,Gardner Dozois,F,scifi,275
2023,Non-stop,Brian Aldiss,F,scifi,182
2022,Pride and Prejudice,Jane Austen,F,classic,368
2022,The Brothers Karamazov,Fyodor Dostoevsky,F,classic,936
2022,The Hunchback of Notre-Dame,Victor Hugo,F,classic,429
2022,Kidnapped,Robert Louis Stevenson,F,classic,221
2022,Treasure Island,Robert Louis Stevenson,F,classic,223
2022,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,F,classic,383
2022,Out of the Silent Planet,C.S. Lewis,F,scifi,160
2022,Perelandra,C.S. Lewis,F,scifi,222
2022,That Hideous Strength,C.S. Lewis,F,scifi,382
2022,Orphans of the Sky,Robert A. Heinlein,F,scifi,128
2022,The Stainless Steel Rat,Harry Harrison,F,scifi,160
2022,The Worlds of Frank Herbert,Frank Herbert,F,scifi,247
2021,Hamlet,William Shakespeare,F,classic,147
2021,Inferno,Dante Alighieri,F,classic,338
2021,Purgatory,Dante Alighieri,F,classic,313
2021,Paradise,Dante Alighieri,F,classic,312
2021,The Idiot,Fyodor Dostoevsky,F,classic,559
2021,A Medicine for Melancholy,Ray Bradbury,F,scifi,307
2021,The Currents of Space,Isaac Asimov,F,scifi,191
2021,The Door into Summer,Robert A. Heinlein,F,scifi,291
2021,Whipping Star,Frank Herbert,F,scifi,188
2021,Destination: Void,Frank Herbert,F,scifi,276
2021,To Say Nothing of the Dog,Connie Willis,F,scifi,493
2021,Harry Potter and the Sorcerer's Stone,J.K. Rowling,F,fantasy,309
2021,Harry Potter and the Chamber of Secrets,J.K. Rowling,F,fantasy,341
2021,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,F,fantasy,435
2021,Harry Potter and the Goblet of Fire,J.K. Rowling,F,fantasy,734
2021,Harry Potter and the Order of the Phoenix,J.K. Rowling,F,fantasy,870
2021,Harry Potter and the Half-Blood Prince,J.K. Rowling,F,fantasy,652
2021,Harry Potter and the Deathly Hallows,J.K. Rowling,F,fantasy,759
2021,The Tales of Beedle the Bard,J.K. Rowling,F,fantasy,107
2020,Bleak House,Charles Dickens,F,classic,740
2020,Of Mice and Men,John Steinbeck,F,classic,107
2020,The Death of Ivan Ilyich,Leo Tolstoy,F,classic,134
2020,Brave New World,Aldous Huxley,F,classic,177
2020,Something Wicked this Way Comes,Ray Bradbury,F,classic,293
2020,Bradbury Classic Short Stories I (from The Golden Apples of the Sun and R is for Rocket),Ray Bradbury,F,classic,348
2020,The Sirens of Titan,Kurt Vonnegut,F,scifi,326
2020,Carpathian Castle,Jules Verne,F,mystery,190
2020,Supertoys Last All Summer Long and Other Stories of Future Time,Brian Aldiss,F,scifi,232
2020,Project Pendulum,Robert Silverberg,F,scifi,210
2020,The Integral Trees,Larry Niven,F,scifi,267
2020,Dune ,Frank Herbert,F,scifi,512
2020,The Dosadi Experiment,Frank Herbert,F,scifi,343
2020,Old Man's War,John Scalzi,F,scifi,311
2020,Timeline,Michael Crichton,F,scifi,489
2020,Tales from Watership Down,Richard Adams,F,fantasy,332
2020,Sharpe's Rifles,Bernard Cornwell,F,historical,350
2019,Hull Zero Three,Greg Bear,F,scifi,307
2019,Eon,Greg Bear,F,scifi,502
2019,"So Long, and Thanks for all the Fish",Douglas Adams,F,scifi,167
2019,Mostly Harmless,Douglas Adams,F,scifi,218
2019,Sunspot,Arthur C. Clarke and Stephen Baxter,F,scifi,325
2019,Dragonflight,Anne McCaffrey,F,fantasy,286
2019,Dragonquest,Anne McCaffrey,F,fantasy,315
2019,The White Dragon,Anne McCaffrey,F,fantasy,445
2019,Dragonsong,Anne McCaffrey,F,fantasy,176
2019,Silas Marner,George Eliot,F,classic,214
2019,Notes from Underground,Fyodor Dostoevsky,F,classic,153
2019,The Essential Kafka,Franz Kafka,F,classic,611
2018,The Hitchhiker's Guide to the Galaxy,Douglas Adams,F,scifi,216
